NBDL-HK3SPRRYMG22JG.v1.mt	Caprodon schlegelii 
NBDL-HR5S2B68P2W03N.v1.mt	Istigobius ornatus 
NBDL-HK3SXDW1N379CK.v1.mt	Caesioperca rasor 
NBDL-HR5SFP4BJM4D8H.v1.mt	Eviota afelei 
NBDL-HK3QHXRWKPSFCD.v1.mt	Pristipomoides zonatus 
NBDL-HK4A8ADDPAZHWH.v1.mt	Choerodon vitta 
NBDL-HK3QD0TPKSJH2B.v1.mt	Carangichthys humerosus 
NBDL-HK3QHXRXNPSD3H.v1.mt	Macolor macularis 
NBDL-HR5S2AZ6P4KK6S.v1.mt	Novaculichthys taeniourus 
NBDL-HR5S2B58K2HKR0.v1.mt	Istigobius rigilius 
NBDL-HR5SFNXEMTS90S.v1.mt	Callogobius clitellus 
NBDL-HR5SFP0QJM8Y7K.v1.mt	Eviota cometa 
NBDL-HR5SFP4YGM7F5X.v1.mt	Psammogobius biocellatus 
NBDL-HK3QHXS1NQ7691.v1.mt	Lutjanus argentimaculatus 
NBDL-HK3QD0SPMSD3EE.v1.mt	Caranx bucculentus 
NBDL-HR5S2B6HG2X5RS.v1.mt	Macolor niger 
NBDL-HR5S2AY9G4GH5X.v1.mt	Ophthalmolepis lineolatus 
NBDL-HR5S2B1CK3747J.v1.mt	Koumansetta rainfordi 
NBDL-HR5SFP1EMM8967.v1.mt	Austrolabrus maculatus 
NBDL-HK3SXDXDN352T3.v1.mt	Hypoplectrodes maccullochi 
NBDL-HK3QD0T5HSNTP7.v1.mt	Turrum gymnostethus 
NBDL-HR5SFP6HQKV7VW.v1.mt	Eviota zebrina 
NBDL-HK3QHXTVJPX62C.v1.mt	Pentapodus aureofasciatus 
NBDL-HR5SFP6ANKVFZR.v1.mt	Eviota prasites 
NBDL-HK3QHXS2QQ7BP5.v1.mt	Lutjanus erythropterus 
NBDL-HR5S2AZXG4KY1D.v1.mt	Hypoplectrodes nigroruber 
NBDL-HK3QFJ37P4B89W.v1.mt	Uraspis uraspis 
NBDL-HR5S2B60P2WDCN.v1.mt	Arenigobius bifrenatus 
NBDL-HR5SFP3DQM1KYE.v1.mt	Eviota latifasciata 
NBDL-HR5S2B0MK2RC8J.v1.mt	Eviota punctulata 
NBDL-HK3QD0TRQSJVG3.v1.mt	Turrum coeruleopinnatum 
NBDL-HR5S2B00K2SCR2.v1.mt	Valenciennea strigata 
NBDL-HR5S2B67M2W2C1.v1.mt	Cryptocentrus leptocephalus 
NBDL-HK3QD0TGQSNE73.v1.mt	Scyris indica 
NBDL-HK3QD0V0QSQ3N3.v1.mt	Atropus mentalis 
NBDL-HR5S2B1DH376GE.v1.mt	Gobiodon quinquestrigatus 
NBDL-HR5S2B27M33MVK.v1.mt	Anampses neoguinaicus 
