100186	10	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;Amphistichus argenteus
100188	15	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus
100190	35	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
100192	4	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hyperprosopon;Hyperprosopon argenteum
1001921	3	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Macrhybopsis;Macrhybopsis gelida
1001922	9	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Macrhybopsis;Macrhybopsis meeki
100194	2	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca caryi
1001947	5	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Oreoleuciscus;Oreoleuciscus potanini
1001948	1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Oreoleuciscus;Oreoleuciscus humilis
1001952	2	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;Sicydiinae sp. 'Keith et al., 2010'
1001955	13	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Cotylopus;Cotylopus rubripinnis
1001956	42	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lentipes;Lentipes armatus
1001957	31	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lentipes;Lentipes kaaea
1001958	8	Eukaryota;Chordata;Actinopteri;Gobiiformes;Rhyacichthyidae;Rhyacichthys;Rhyacichthys guilberti
1001959	100	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Smilosicyopus;Smilosicyopus chloe
100196	8	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hysterocarpus;Hysterocarpus traskii
1001960	15	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Smilosicyopus;Smilosicyopus sasali
1001961	2	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Sicyopus;Sicyopus sp. 41B19B
1001963	12	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Stiphodon;Stiphodon atratus
1001964	10	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Stiphodon;Stiphodon hydroreibatus
1001965	3	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Stiphodon;Stiphodon rubromaculatus
1001966	12	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Stiphodon;Stiphodon sapphirinus
1001970	12	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Akihito;Akihito futuna
1001971	17	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Akihito;Akihito vanuatu
100198	4	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Neoditrema;Neoditrema ransonnetii
100200	9	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon furcatus
100202	2	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes
100204	14	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Zalembius;Zalembius rosaceus
100206	251	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Cirrhitidae;Paracirrhites;Paracirrhites forsteri
1002199	11	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Notropis;Notropis chiliticus
1002200	7	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Notropis;Notropis chlorocephalus
1002201	5	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Notropis;Notropis petersoni
1002202	11	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Notropis;Notropis rubricroceus
1002203	6	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Notropis;Notropis spectrunculus
1002743	6	Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;Ardeola;Ardeola idae
1002746	2	Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;Ardeola;Ardeola rufiventris
1002791	1	Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;Ixobrychus;Ixobrychus sturmii
1002901	1	Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;Ardeola;Ardeola sp. GGS-2011
1003166	29	Eukaryota;Chordata;Actinopteri;Perciformes;Peristediidae;Peristedion;Peristedion cataphractum
1003168	10	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Dicrolene;
1003169	14	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Dicrolene;Dicrolene introniger
1003184	5	Eukaryota;Chordata;Actinopteri;Siluriformes;Loricariidae;Pterygoplichthys;Pterygoplichthys gibbiceps
1003680	17	Eukaryota;Chordata;Actinopteri;Perciformes;Tetrarogidae;Ablabys;Ablabys binotatus
1003681	22	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus vagus
1003682	16	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Centriscidae;Aeoliscus;Aeoliscus punctulatus
1003683	82	Eukaryota;Chordata;Actinopteri;;Ambassidae;Ambassis;Ambassis ambassis
1003684	114	Eukaryota;Chordata;Actinopteri;;Ambassidae;Ambassis;Ambassis dussumieri
1003685	31	Eukaryota;Chordata;Actinopteri;;Ambassidae;Ambassis;Ambassis natalensis
1003686	22	Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Apolemichthys;Apolemichthys kingi
